iter	Passed	Remaining
408	4819	6964
409	4827	6946
410	4835	6929
411	4842	6911
412	4850	6893
413	4857	6875
414	4865	6858
415	4871	6839
416	4878	6821
417	4887	6804
418	4910	6809
419	4946	6830
420	5001	6877
421	5020	6876
422	5032	6865
423	5043	6852
424	5055	6839
425	5066	6827
426	5075	6810
427	5081	6791
428	5089	6774
429	5098	6757
430	5107	6743
431	5115	6725
432	5124	6710
433	5134	6696
434	5142	6678
435	5149	6661
436	5156	6643
437	5162	6624
438	5171	6608
439	5178	6590
440	5185	6572
441	5241	6617
442	5291	6653
443	5302	6640
444	5312	6625
445	5322	6611
446	5332	6596
447	5341	6581
448	5350	6565
449	5358	6549
450	5367	6533
451	5375	6517
452	5383	6500
453	5390	6483
454	5398	6466
455	5405	6448
456	5413	6432
457	5421	6415
458	5550	6541
459	5563	6531
460	5572	6515
461	5580	6499
462	5587	6480
463	5595	6463
464	5603	6446
465	5610	6429
466	5616	6410
467	5623	6392
468	5630	6375
469	5637	6357
470	5644	6339
471	5650	6321
472	5657	6303
473	5664	6286
474	5671	6268
475	5679	6251
476	5686	6234
477	5692	6216
478	5698	6198
479	5705	6180
480	5711	6162
481	5716	6143
482	5749	6154
483	5788	6170
484	5814	6174
485	5824	6159
486	5834	6146
487	5842	6129
488	5850	6113
489	5858	6097
490	5866	6081
491	5873	6064
492	5881	6048
493	5888	6031
494	5896	6015
495	5902	5997
496	5909	5980
497	5915	5963
498	5923	5947
499	5930	5930
500	5936	5912
501	5942	5895
502	5949	5878
503	5967	5872
504	6003	5884
505	6048	5904
506	6059	5892
507	6068	5877
508	6076	5861
509	6085	5846
510	6092	5830
511	6101	5815
512	6108	5799
513	6116	5783
514	6123	5767
515	6130	5750
516	6137	5733
517	6144	5717
518	6150	5700
519	6156	5683
520	6165	5668
521	6171	5651
522	6178	5635
523	6184	5618
524	6211	5619
525	6245	5628
526	6284	5640
527	6294	5627
528	6305	5613
529	6315	5600
530	6324	5586
531	6333	5571
532	6340	5555
533	6349	5540
534	6356	5525
535	6364	5509
536	6371	5493
537	6378	5477
538	6386	5461
539	6399	5451
540	6409	5438
541	6416	5422
542	6422	5405
543	6430	5390
544	6437	5374
545	6443	5358
546	6449	5341
547	6456	5325
548	6462	5308
549	6468	5292
550	6474	5275
551	6481	5260
552	6584	5322
553	6599	5313
554	6610	5300
555	6620	5286
556	6628	5272
557	6636	5256
558	6643	5241
559	6651	5226
560	6659	5211
561	6666	5195
562	6673	5179
563	6680	5164
564	6687	5149
565	6694	5133
566	6702	5118
567	6708	5102
568	6715	5086
569	6722	5071
570	6728	5055
571	6735	5039
572	6741	5023
573	6749	5008
574	6783	5013
575	6827	5026
576	6846	5018
577	6854	5004
578	6862	4990
579	6869	4974
580	6876	4958
581	6883	4944
582	6890	4928
583	6896	4912
584	6903	4897
585	6910	4881
586	6917	4867
587	6923	4851
588	6957	4855
589	7004	4867
590	7023	4860
591	7032	4846
592	7040	4832
593	7048	4817
594	7056	4803
595	7064	4788
596	7072	4774
597	7081	4760
598	7088	4745
599	7095	4730
600	7102	4715
601	7109	4700
602	7116	4685
603	7123	4670
604	7130	4655
605	7165	4658
606	7200	4662
607	7232	4663
608	7247	4652
609	7258	4640
610	7266	4626
611	7275	4612
612	7282	4597
613	7290	4583
614	7299	4569
615	7307	4555
616	7315	4541
617	7324	4527
618	7332	4513
619	7339	4498
620	7346	4483
621	7354	4469
622	7362	4455
623	7369	4440
624	7376	4425
625	7383	4411
626	7389	4396
627	7498	4441
628	7516	4433
629	7529	4422
630	7541	4410
631	7550	4396
632	7558	4382
633	7567	4368
634	7575	4354
635	7582	4339
636	7588	4324
637	7595	4309
638	7603	4295
639	7611	4281
640	7619	4267
641	7626	4252
642	7664	4255
643	7719	4267
644	7736	4258
645	7749	4246
646	7761	4234
647	7772	4222
648	7780	4208
649	7788	4193
650	7794	4178
651	7801	4164
652	7809	4150
653	7816	4135
654	7823	4120
655	7830	4106
656	7838	4091
657	7845	4077
658	7854	4064
659	7860	4049
660	7868	4035
661	7875	4020
662	7882	4006
663	7889	3992
664	7920	3990
665	7954	3989
666	7986	3987
667	7997	3974
668	8010	3963
669	8020	3950
